City,Year,Month,Visits,Sales_UAH,Promo_Sales_UAH,Client_GRP,Client_OTS,Client_Ad_Budget_UAH,Client_Ad_Events,Client_Insertions,Competitor_GRP,Competitor_OTS,Competitor_Ad_Budget_UAH,Competitor_Ad_Events,Competitor_Insertions,Epicentr_GRP,Epicentr_OTS,Epicentr_Ad_Budget_UAH,Epicentr_Insertions,Fora_GRP,Fora_OTS,Fora_Ad_Budget_UAH,Fora_Insertions,Silpo_GRP,Silpo_OTS,Silpo_Ad_Budget_UAH,Silpo_Insertions,Varus_GRP,Varus_OTS,Varus_Ad_Budget_UAH,Varus_Insertions,Velmart_GRP,Velmart_OTS,Velmart_Ad_Budget_UAH,Velmart_Insertions,Auchan_GRP,Auchan_OTS,Auchan_Ad_Budget_UAH,Auchan_Insertions,Ekomarket_GRP,Ekomarket_OTS,Ekomarket_Ad_Budget_UAH,Ekomarket_Insertions,Novus_GRP,Novus_OTS,Novus_Ad_Budget_UAH,Novus_Insertions,Le Silpo_GRP,Le Silpo_OTS,Le Silpo_Ad_Budget_UAH,Le Silpo_Insertions,Atb_GRP,Atb_OTS,Atb_Ad_Budget_UAH,Atb_Insertions,Fozzy_GRP,Fozzy_OTS,Fozzy_Ad_Budget_UAH,Fozzy_Insertions
Chernihiv,2023,1,8749,7202788.96,736748.74,0.0,0.0,0.0,0.0,0.0,137.24,316.0,258100.0,45.0,45.0,65.62,151.0,116150.0,22.0,0.0,0.0,0.0,0.0,19.46,45.0,42750.0,7.0,0.0,0.0,0.0,0.0,13.9,32.0,25000.0,4.0,0.0,0.0,0.0,0.0,3.48,8.0,24200.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.78,80.0,50000.0,8.0,0.0,0.0,0.0,0.0
Chernihiv,2023,2,8711,7393957.01,959652.56,0.0,0.0,0.0,0.0,0.0,138.78,320.0,269700.0,47.0,47.0,57.269999999999996,132.0,97400.0,19.0,0.0,0.0,0.0,0.0,21.07,49.0,36800.0,6.0,0.0,0.0,0.0,0.0,20.88,48.0,43150.0,7.0,0.0,0.0,0.0,0.0,23.04,53.0,42350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.52,38.0,50000.0,8.0,0.0,0.0,0.0,0.0
Chernihiv,2023,3,8784,7451322.14,1209485.36,0.0,0.0,0.0,0.0,0.0,129.44,298.0,245900.0,42.0,42.0,40.75,94.0,75300.0,14.0,0.0,0.0,0.0,0.0,9.99,23.0,42850.0,7.0,0.0,0.0,0.0,0.0,20.88,48.0,49200.0,8.0,0.0,0.0,0.0,0.0,41.3,95.0,28550.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.52,38.0,50000.0,8.0,0.0,0.0,0.0,0.0
Chernihiv,2023,4,8508,7491746.47,1018521.33,0.0,0.0,0.0,0.0,0.0,143.26999999999998,344.0,285850.0,44.0,47.0,26.5,61.0,59300.0,10.0,0.0,0.0,0.0,0.0,24.77,57.0,63800.0,12.0,0.0,0.0,0.0,0.0,20.88,48.0,52600.0,8.0,0.0,0.0,0.0,0.0,45.9,120.0,41250.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.22,58.0,68900.0,10.0,0.0,0.0,0.0,0.0
Chernihiv,2023,5,9485,8633263.06,1458848.05,0.0,0.0,0.0,0.0,0.0,132.84,320.0,260800.0,39.0,42.0,27.81,64.0,60000.0,9.0,0.0,0.0,0.0,0.0,11.3,26.0,32000.0,7.0,0.0,0.0,0.0,0.0,20.44,47.0,52600.0,8.0,0.0,0.0,0.0,0.0,45.9,120.0,41250.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.39,63.0,74950.0,11.0,0.0,0.0,0.0,0.0
Chernihiv,2023,6,9394,9020426.44,1630040.98,0.0,0.0,0.0,0.0,0.0,70.86,163.0,89050.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,10.0,12100.0,2.0,0.0,0.0,0.0,0.0,13.919999999999998,32.0,24200.0,4.0,0.0,0.0,0.0,0.0,33.91,78.0,16450.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.689999999999998,43.0,36300.0,6.0,0.0,0.0,0.0,0.0
Chernihiv,2023,7,9402,9376856.09,1582843.2,0.0,0.0,0.0,0.0,0.0,106.51,245.0,137450.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25,88.0,53600.0,9.0,0.0,0.0,0.0,0.0,13.919999999999998,32.0,24200.0,4.0,0.0,0.0,0.0,0.0,21.74,50.0,11250.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,75.0,48400.0,8.0,0.0,0.0,0.0,0.0
Chernihiv,2023,8,9113,8912634.03,1278953.77,0.0,0.0,0.0,0.0,0.0,107.38,247.0,124500.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.95,62.0,35450.0,6.0,0.0,0.0,0.0,0.0,13.919999999999998,32.0,24200.0,4.0,0.0,0.0,0.0,0.0,33.91,78.0,16450.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,75.0,48400.0,8.0,0.0,0.0,0.0,0.0
Chernihiv,2023,9,9183,9288403.18,1691621.47,0.0,0.0,0.0,0.0,0.0,105.2,242.0,130950.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68,66.0,37400.0,6.0,0.0,0.0,0.0,0.0,13.919999999999998,32.0,25000.0,4.0,0.0,0.0,0.0,0.0,30.0,69.0,18550.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,75.0,50000.0,8.0,0.0,0.0,0.0,0.0
Chernihiv,2023,10,8954,8773956.5,1189979.92,0.0,0.0,0.0,0.0,0.0,178.09,410.0,284400.0,32.0,47.0,93.89,216.0,90300.0,15.0,0.0,0.0,0.0,0.0,12.9,30.0,113050.0,19.0,0.0,0.0,0.0,0.0,6.09,14.0,12500.0,2.0,0.0,0.0,0.0,0.0,30.0,69.0,18550.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21,81.0,50000.0,8.0,0.0,0.0,0.0,0.0
Chernihiv,2023,11,8544,8659316.6,990135.53,0.0,0.0,0.0,0.0,0.0,212.91,490.0,378850.0,49.0,62.0,112.92999999999999,260.0,178000.0,29.0,0.0,0.0,0.0,0.0,25.21,58.0,107300.0,18.0,0.0,0.0,0.0,0.0,13.040000000000001,30.0,25000.0,4.0,0.0,0.0,0.0,0.0,30.0,69.0,18550.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73,73.0,50000.0,8.0,0.0,0.0,0.0,0.0
